#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	S00KA-0001d_metagenome	S00KA-0002d_metagenome	S00KA-0003d_metagenome	S00KA-0004d_metagenome	S00KA-0005d_metagenome	S00KA-0006d_metagenome	S00KA-0007d_metagenome	S00KA-0008d_metagenome	S00KA-0009d_metagenome	S00KA-0010d_metagenome	S00KA-0011d_metagenome	S00KA-0012d_metagenome	S00KA-0013d_metagenome	S00KA-0014d_metagenome	S00KA-0015d_metagenome	S00KA-0016d_metagenome	S00KA-0017d_metagenome	S00KA-0018d_metagenome	S00KA-0019d_metagenome	S00KA-0020d_metagenome	S00KA-0021d_metagenome	S00KA-0022d_metagenome	S00KA-0023d_metagenome	S00KA-0024d_metagenome	S00KA-0025d_metagenome	S00KA-0026d_metagenome	S00KA-0027d_metagenome	S00KA-0028d_metagenome	S00KA-0029d_metagenome	S00KA-0030d_metagenome	S00KA-0031d_metagenome	S00KA-0032d_metagenome	S00KA-0033d_metagenome	S00KA-0034d_metagenome	S00KA-0035d_metagenome	S00KA-0036d_metagenome	S00KA-0037d_metagenome	S00KA-0038d_metagenome	S00KA-0039d_metagenome	S00KA-0040d_metagenome	S00KA-0041d_metagenome	S00KA-0042d_metagenome	S00KA-0043d_metagenome	S00KA-0044d_metagenome	S00KA-0045d_metagenome	S00KA-0046d_metagenome	S00KA-0047d_metagenome	S00KA-0048d_metagenome	S00KA-0049d_metagenome	S00KA-0050d_metagenome	S00KA-0051d_metagenome	S00KA-0052d_metagenome	S00KA-0053d_metagenome	S00KA-0054d_metagenome	S00KA-0055d_metagenome	S00KA-0056d_metagenome	S00KA-0057d_metagenome	S00KA-0058d_metagenome	S00KA-0059d_metagenome	S00KA-0060d_metagenome	S00KA-0061d_metagenome	S00KA-0062d_metagenome	S00KA-0063d_metagenome	S00KA-0064d_metagenome	S00KA-0065d_metagenome	S00KA-0066d_metagenome	S00KA-0067d_metagenome	S00KA-0068d_metagenome	S00KA-0069d_metagenome	S00KA-0070d_metagenome	S00KA-0071d_metagenome	S00KA-0072d_metagenome	S00KA-0073d_metagenome	S00KA-0074d_metagenome	S00KA-0075d_metagenome	S00KA-0076d_metagenome	S00KA-0077d_metagenome	S00KA-0078d_metagenome	S00KA-0079d_metagenome	S00KA-0080d_metagenome	S00KA-0081d_metagenome	S00KA-0082d_metagenome	S00KA-0083d_metagenome	S00KA-0084d_metagenome	S00KA-0085d_metagenome	S00KA-0086d_metagenome	S00KA-0087d_metagenome	S00KA-0088d_metagenome	S00KA-0089d_metagenome	S00KA-0090d_metagenome	S00KA-0091d_metagenome	S00KA-0092d_metagenome	S00KA-0093d_metagenome	S00KA-0094d_metagenome	S00KA-0095d_metagenome	S00KA-0096d_metagenome	S00KA-0097d_metagenome	S00KA-0098d_metagenome	S00KA-0099d_metagenome	S00KA-0100d_metagenome	S00KA-0101d_metagenome	S00KA-0102d_metagenome	S00KA-0103d_metagenome	S00KA-0104d_metagenome	S00KA-0105d_metagenome	S00KA-0106d_metagenome	S00KA-0107d_metagenome	S00KA-0108d_metagenome	S00KA-0109d_metagenome	S00KA-0110d_metagenome	S00KA-0111d_metagenome	S00KA-0112d_metagenome	S00KA-0113d_metagenome
k__Bacteria	99.91637	99.93182	99.99094	100.0	99.39833	99.62589	100.0	100.0	100.0	100.0	100.0	100.0	100.0	95.44086	97.47363	98.96126	99.80308	99.90013	99.38275	100.0	99.97097	99.85382	99.8009	99.93025	99.92961	99.96186	99.97343	100.0	100.0	100.0	96.7604	98.88086	99.44472	99.99927	100.0	100.0	100.0	99.88965	99.98344	100.0	99.99006	100.0	100.0	99.98912	99.58544	99.61141	100.0	99.92917	99.7189	99.98796	98.45186	99.88309	99.96802	98.98705	98.09964	99.29735	98.153	99.35308	100.0	100.0	100.0	99.98174	100.0	100.0	99.73366	97.93906	99.57893	93.68838	99.9988	99.93283	99.94731	98.57131	98.83069	99.44467	100.0	100.0	99.96574	100.0	99.97297	99.99608	99.91194	99.95433	99.9185	90.73161	99.56696	99.69845	99.12175	99.93985	99.7872	100.0	100.0	100.0	100.0	100.0	99.92538	99.97691	99.98707	100.0	100.0	100.0	100.0	100.0	100.0	99.74631	100.0	99.93488	100.0	97.07879	97.56202	98.59546	100.0	100.0	100.0
k__Archaea	0.08363	0.06818	0.00906	0.0	0.60167	0.37411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.55914	2.52637	1.03874	0.19692	0.09987	0.61725	0.0	0.02903	0.14618	0.1991	0.06975	0.07039	0.03814	0.02657	0.0	0.0	0.0	3.2396	1.11914	0.55528	0.00073	0.0	0.0	0.0	0.11035	0.01656	0.0	0.00994	0.0	0.0	0.01088	0.41456	0.38859	0.0	0.07083	0.2811	0.01204	1.54814	0.11691	0.03198	1.01295	1.90036	0.70265	1.847	0.64692	0.0	0.0	0.0	0.01826	0.0	0.0	0.26634	2.06094	0.42107	6.31162	0.0012	0.06717	0.05269	1.42869	1.16931	0.55533	0.0	0.0	0.03426	0.0	0.02703	0.00392	0.08806	0.04567	0.0815	9.26839	0.43304	0.30155	0.87825	0.06015	0.2128	0.0	0.0	0.0	0.0	0.0	0.07462	0.02309	0.01293	0.0	0.0	0.0	0.0	0.0	0.0	0.25369	0.0	0.06512	0.0	2.92121	2.43798	1.40454	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	55.59666	76.70525	39.78513	53.08571	60.23447	54.84492	62.30515	44.88117	25.20562	50.96384	45.86959	46.70584	38.65973	62.24071	72.98929	69.08361	63.62985	71.37155	69.00757	63.76156	35.6944	59.99747	43.84695	31.86497	54.34363	48.52409	81.47522	47.09914	44.62425	50.64183	50.30692	69.47195	74.6882	70.22655	26.09172	76.21647	51.3188	59.53477	29.25447	32.61368	72.87342	46.91099	29.56981	32.23814	66.91797	59.88995	21.14228	62.4152	53.46323	58.94203	57.89649	47.60142	69.73848	58.07345	71.4362	74.96383	66.3994	71.52978	19.77858	54.77051	49.40595	54.00461	68.2427	84.29627	51.88405	63.25039	50.70918	38.32062	51.47004	41.7164	40.11748	78.87038	55.86276	73.02359	59.6195	32.37053	39.93293	28.39095	73.18759	76.83746	66.52267	62.42442	34.81557	42.78862	55.47124	68.49817	55.21893	47.52125	55.59427	32.22887	26.66351	68.97327	60.56474	62.36468	64.69334	55.64794	53.29439	40.46205	19.53278	20.36307	66.02528	52.64306	50.08271	54.33326	56.43137	57.3775	33.85016	69.08337	73.60042	51.46115	53.85544	51.03062	48.6477
k__Bacteria|p__Bacteroidetes	42.50058	12.86922	36.66532	38.23981	27.08322	22.40371	10.21147	33.70014	10.33014	35.37515	37.81849	31.63101	51.94375	13.40896	3.86827	19.70992	25.38548	15.85434	24.90996	22.04872	25.42876	31.22633	41.01267	56.8283	37.16233	46.38858	0.61096	28.40299	47.53713	24.89136	8.3307	19.7615	13.9368	7.22097	68.38711	20.04939	28.92568	32.1995	57.25455	62.97095	18.69165	34.66987	25.52689	43.1264	16.56123	22.63079	37.33513	21.81017	28.44587	32.64476	29.83606	43.26947	16.29278	30.76879	10.09794	16.67573	6.10445	5.111	40.04689	42.03419	43.95245	6.67176	13.23543	3.7601	41.93721	22.40769	32.73417	28.59479	32.35233	40.97119	29.22769	8.02309	7.29132	6.56552	7.70555	41.33394	0.51554	31.37744	0.5129	0.02022	23.07523	23.55119	25.23642	7.63302	30.96623	21.37318	34.82236	17.9308	22.4275	60.08544	46.52895	0.3219	33.65766	29.77581	29.47494	40.90513	38.56355	52.41085	73.26572	72.66873	22.97523	27.96669	35.57471	28.81547	33.50118	30.61411	57.94078	13.09966	15.29755	39.08794	34.29598	10.05466	5.85751
k__Bacteria|p__Proteobacteria	0.8034	2.70739	9.43635	6.60725	1.38413	0.92483	1.52524	3.5203	3.41069	0.4604	0.24326	1.60525	2.26319	5.94736	0.39711	0.3293	2.12176	1.42775	1.00421	6.67846	2.94545	6.64608	7.5231	8.46079	1.22849	1.08333	0.67414	1.58526	3.198	0.62735	5.59267	3.14019	2.41654	1.65902	2.26608	1.05235	0.27344	2.50722	4.09352	1.90286	3.79931	2.19198	5.58413	5.53464	4.78556	0.23311	1.0106	7.97935	4.08309	2.88559	2.36958	1.29037	1.97726	2.07971	3.38322	3.7389	3.51979	7.94254	11.21335	1.53705	2.48537	25.35921	2.12758	1.03921	2.33008	1.24157	1.86614	2.82335	10.38457	12.32786	2.87935	1.97205	0.88028	1.53647	0.77555	16.06804	2.44645	4.16353	4.57788	4.55532	1.33079	3.29051	2.07596	2.76832	0.76825	0.85435	1.04054	0.43413	1.52394	3.31995	3.69577	3.3808	2.29608	2.33433	2.1901	1.0278	4.05728	3.45547	5.8304	5.95165	1.78064	6.11989	10.46576	2.66794	3.31465	4.75405	4.66303	1.56603	1.27109	0.73901	3.56217	0.0	0.0
k__Bacteria|p__Actinobacteria	0.70492	6.63292	3.29278	1.08844	3.84732	6.90765	23.50644	17.36223	13.77216	13.20061	16.06866	20.05791	7.13333	13.65591	15.18153	2.07899	3.23408	5.30757	4.461	3.33076	1.87196	1.73442	2.73413	1.5371	7.0509	3.70524	12.60457	8.48739	4.31117	23.43959	5.18201	1.47482	2.12052	6.21467	3.25509	2.68179	8.4609	4.10975	2.21342	2.46333	3.92713	10.85662	6.89671	13.54473	11.14908	3.73321	24.20881	3.30769	4.02935	3.31966	1.45741	4.02713	9.28806	6.28449	5.44413	2.24244	10.68436	7.44938	1.39334	1.48097	4.10642	13.65792	11.57114	9.66954	1.16054	1.63538	1.30147	1.2935	5.63116	1.33973	6.56965	1.95365	1.08802	1.12433	6.71155	1.37667	26.55064	1.68693	13.68475	15.44169	0.8939	2.44126	1.01377	16.68724	4.90048	2.58697	2.29396	3.90064	2.93896	1.98189	2.67892	26.62458	2.37136	1.72002	3.32568	2.35552	3.93178	3.67163	1.32151	1.01655	8.91539	13.27036	3.87682	13.89735	6.56897	6.55067	3.36947	6.14599	4.70369	4.04152	3.64166	6.87858	26.18101
k__Bacteria|p__Bacteria_unclassified	0.24344	0.17374	0.0	0.0	0.34982	0.52423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00129	0.0	0.21043	1.48558	1.07466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55716	1.88842	0.31419	0.36861	0.10216	1.28483	1.23331	1.16552	0.0	0.0	0.00332	0.49596	0.0	0.04918	0.24409	1.47701	0.753	0.13428	0.0	0.0	0.31361	0.09899	0.58927	1.36145	0.0	2.49537	2.24062	0.0	5.85855	1.04119	0.05199	0.00734	0.0	0.09064	0.04982	0.0	1.71428	0.63213	0.29767	0.23006	0.23976	0.31894	0.1008	0.24546	0.05869	0.14863	0.135	0.07334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03001	0.00277	0.01206	0.08401	0.0	0.0	0.0	0.0	0.49252	0.07004	0.02067	0.12108	0.04052	0.12721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02913	0.05107	0.0184	2.19906	1.73661	2.06183	0.0	0.0	0.0
k__Archaea|p__Thaumarchaeota	0.08363	0.06818	0.00906	0.0	0.05628	0.04336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00605	0.19692	0.09987	0.0	0.0	0.0	0.12563	0.08351	0.04578	0.07039	0.03814	0.02657	0.0	0.0	0.0	0.00595	0.01278	0.022	0.00073	0.0	0.0	0.0	0.0	0.01656	0.0	0.00994	0.0	0.0	0.01088	0.02699	0.06232	0.0	0.07083	0.2811	0.01204	0.0	0.11691	0.03198	0.0	0.08889	0.18755	0.0	0.0	0.0	0.0	0.0	0.01826	0.0	0.0	0.00513	0.02993	0.05577	0.0	0.0012	0.06717	0.05269	0.2666	0.0685	0.0436	0.0	0.0	0.03426	0.0	0.02703	0.00392	0.08806	0.04567	0.0815	0.0	0.0	0.0	0.0	0.06015	0.0227	0.0	0.0	0.0	0.0	0.0	0.07462	0.02309	0.01293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03755	0.12618	0.01168	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia	0.04407	0.0	0.0	0.0	6.04324	13.99258	0.86787	0.0	46.84954	0.0	0.0	0.0	0.0	0.0	0.0	7.53938	2.51406	4.01425	0.0	4.17695	34.0304	0.03656	4.20895	0.01421	0.0	0.0	4.04585	12.0539	0.0	0.0	23.23135	2.77567	4.83235	11.18253	0.0	0.0	10.51171	0.49884	6.92114	0.0	0.41233	3.89353	31.66946	5.29292	0.04226	12.17658	13.40055	4.06448	4.14105	0.0	2.75989	0.0	0.0	1.58408	1.68324	0.42918	5.6092	3.98563	22.47071	0.08665	0.0	0.28823	3.07129	0.48722	0.00726	3.68664	7.75753	1.28177	0.05989	1.96462	21.0765	3.08256	29.82108	12.89216	25.02904	8.76899	30.52019	34.02337	8.00986	3.14138	7.99218	6.27882	36.76998	18.65603	5.40334	5.93028	5.27225	30.15304	17.30031	2.38005	19.89358	0.00608	0.0	0.0	0.02454	0.0	0.01286	0.0	0.04959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00345	27.69803	11.09398
k__Bacteria|p__Tenericutes	0.02329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41507	0.85002	0.0	0.0	0.0	0.01654	0.0023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0281	0.0	0.0	0.0	0.0	0.0134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0395	0.16408	0.0	0.0	0.0	0.0	0.28065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01479	0.08176	0.0	0.08371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06862	0.04205	0.3897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05839	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	47.06964	49.48745	33.88484	40.1144	32.66419	34.83405	53.36845	34.68914	20.12144	44.22385	43.25677	41.87918	36.42766	58.82251	18.47961	44.60228	46.11333	45.44004	47.55871	55.20501	31.68013	50.12895	36.26674	26.87062	43.50055	42.38609	54.69943	36.72247	31.81691	36.07085	24.93211	38.04512	33.41109	47.2032	14.71376	52.39786	27.25621	41.87885	20.84205	24.48796	45.96005	35.17224	22.93342	20.6794	44.87082	45.61903	17.2034	49.9949	39.65472	46.64363	30.54106	31.67085	43.8012	29.2608	55.52563	57.45606	36.16715	33.20521	17.17689	49.08104	38.82198	44.41188	49.98546	71.41933	34.45196	47.92118	30.11436	24.39067	49.43991	37.29768	38.17062	56.95233	36.45196	57.10144	44.44074	23.45091	27.31571	22.41437	55.3373	63.69549	35.89571	55.90867	32.80881	12.29427	26.31934	30.23595	29.77966	41.68682	47.99332	28.22576	23.85353	45.91216	54.59795	55.81699	56.88424	48.03136	40.24962	27.23236	7.46198	13.85134	60.86739	45.22171	42.11116	39.52966	49.30979	46.97173	25.47719	31.4544	49.83204	39.91382	43.68092	41.82244	37.86088
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	42.50058	12.86922	36.66532	38.23981	27.04083	22.40371	10.21147	33.70014	10.33014	35.37515	37.81849	31.63101	51.94375	13.40896	3.86827	18.06394	25.38548	15.85434	24.67971	21.97228	25.33847	29.42975	40.76018	55.47573	36.59092	44.01906	0.61096	28.40299	47.53713	24.89136	4.73665	19.49142	13.77787	7.22097	67.66256	17.31183	28.92568	31.96974	57.22149	62.97095	18.50163	34.66987	25.52689	43.1264	11.86296	18.1628	37.33513	21.81017	28.44587	28.16658	25.93625	43.26947	13.27184	29.80357	9.96932	16.49789	6.09719	5.09507	40.04689	41.72665	43.70317	6.67176	12.63213	3.70361	41.93721	22.40769	32.73417	28.59479	32.35233	40.97119	29.22769	8.02309	7.29132	6.56552	7.70555	41.33394	0.51554	31.37744	0.5129	0.02022	23.07523	23.55119	25.23642	3.80219	30.96623	21.37318	34.82236	17.9308	22.4275	60.08544	46.52895	0.3219	33.65766	29.77581	29.10892	40.61048	38.32083	52.41085	73.26572	72.66873	22.94528	27.96669	35.57471	28.81547	33.50118	30.61411	57.94078	13.09966	15.29755	39.08794	34.29598	10.05466	5.85751
k__Bacteria|p__Firmicutes|c__CFGB76783	5.07585	0.669	0.0	0.0	12.24995	12.00378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.20545	4.06306	2.57053	1.90504	0.0	0.0	0.25223	1.05198	1.63637	0.0	0.0	0.61599	0.0	0.0	0.0	0.0	0.45376	0.10811	0.97406	0.0	7.03532	0.0	12.58448	1.96136	0.11413	5.09784	0.0	0.0	0.0	0.0	3.0459	0.0	1.14714	0.22395	5.8371	0.02256	3.12917	17.79531	0.0	0.05668	0.18047	0.20331	0.56322	0.0	0.0	0.0	0.0	0.04207	0.0	7.76546	1.35853	0.80991	0.937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05296	0.17071	0.89732	0.00055	0.0	0.00331	0.0	0.0	0.0	0.0	0.0	0.0	3.52232	2.26768	2.33406	1.28523	0.14291	0.0315	0.02859	0.0	0.00768	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	1.01159	0.57024	0.73091	8.25456	0.61635	0.20232	0.0	0.0	0.0	0.11951	0.49448	0.32878	1.20486	2.17275	0.10287	0.32441	0.8236	0.50236	3.17447	1.17111	0.81672	0.49266	0.12431	0.08947	6.94655	3.50244	1.38195	0.95118	1.6849	0.74698	0.19179	0.28707	0.44834	0.04048	0.45103	4.68505	0.3644	0.16307	1.44618	2.61844	8.71379	3.3477	3.85987	4.53836	1.24422	1.17878	0.72716	1.07511	1.16015	1.37567	0.26549	2.22836	2.0044	0.21481	1.44684	0.88506	0.49643	0.26506	2.39485	1.57956	1.76051	1.8022	1.23793	1.73147	1.6909	1.00596	1.75161	0.69953	0.97035	1.90864	0.7064	1.68848	0.88211	0.75252	4.11677	7.95013	0.10829	3.08132	0.17695	0.58975	0.30394	0.45151	0.2243	0.0	0.0	0.0	0.0	1.49043	2.38716	2.72004	0.56681	6.2903	0.43936	0.31161	2.45859	2.39783	4.01511	8.12383	9.56163	2.51809	2.96368	6.62659	7.54902	1.69934	1.54022	1.83056	3.39398	0.41982	1.02498	1.58586	2.44603	0.18774	0.17375
k__Bacteria|p__Firmicutes|c__CFGB3012	0.88721	4.39149	0.85449	0.05521	0.0	0.0	0.66623	1.127	0.70434	0.0	0.0	0.0	0.0	0.0	0.57002	0.0	0.0	0.0	2.82737	0.72351	1.88565	0.0	0.54096	0.30644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.90737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05588	2.39912	3.91496	2.69339	1.22577	0.0	0.0	0.0	0.0	0.0419	2.34395	4.77278	1.37742	0.0	0.0	1.17784	1.38723	1.05498	0.66133	0.0	0.0	0.0	0.5969	0.76665	0.14117	0.0	0.0	4.99034	1.55957	3.97166	1.48852	0.0	0.0	0.0	0.0	0.61587	0.8803	1.85501	0.0	0.0	0.0	1.71709	0.0	0.0	0.0	0.0	0.0	0.0	0.69114	0.0	0.0	0.60188	0.0	0.0	0.0	0.0	0.0	0.0	2.56108	3.37779	0.86629	0.95237	0.17244	0.13466
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.67263	5.85944	1.68904	0.76208	1.85539	3.93327	7.05057	5.15689	4.39275	3.12544	3.31733	2.12217	2.04488	11.31013	14.70292	1.68534	2.36541	3.36129	4.461	2.56027	1.87196	1.65064	2.36239	1.48319	6.65083	3.5916	12.59941	5.15591	2.5	13.60216	3.47667	1.10796	1.87864	5.56545	0.6947	2.31591	8.4609	3.26549	2.13808	1.27678	2.28384	6.59755	5.29912	4.50864	5.80579	3.13919	12.97953	1.60769	2.83651	3.31966	0.37293	4.02713	9.28806	1.02668	3.38013	1.44959	6.87399	5.31552	1.37079	1.03368	3.61116	6.52063	11.57114	9.07067	1.16054	1.63538	1.30147	1.28993	3.30292	1.3363	1.96871	1.51464	0.42392	0.87691	6.64323	1.32944	22.6522	1.62597	12.89044	10.42501	0.8939	2.44126	1.01377	6.96072	4.90048	2.58697	2.12021	3.90064	2.72237	1.97223	2.38368	14.8861	1.89624	0.8471	2.09522	1.21103	2.8804	2.29098	0.77401	0.86821	6.04139	4.30479	3.31581	8.92062	3.63458	5.63902	1.12037	5.96279	4.6055	3.89072	2.4543	6.17563	25.12821
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.50564	0.71332	1.16046	0.17015	0.17237	0.23084	0.20542	0.73013	0.32084	0.38922	0.03041	0.75162	0.0856	0.03042	0.0031	0.13103	0.20965	0.26231	0.0	0.0	0.0	0.62115	1.43226	1.06799	0.04299	0.03552	0.00475	0.00168	0.03776	0.0	0.32618	0.05266	0.09265	0.76635	0.0	0.0525	0.021	0.61595	0.0	0.0	0.00664	0.0	0.0	0.10086	0.50515	0.06479	0.42456	0.0	0.0	1.19436	0.02536	0.02364	0.41891	0.0	0.13913	0.05617	0.01932	0.0	3.3903	0.0	0.0	0.0	0.0217	0.0	0.0	0.0	0.0	0.0	0.57935	0.2726	0.30708	0.43595	0.03625	0.34924	0.07953	4.66342	0.0	1.47083	0.0	0.0	0.0	0.0	0.0	0.04141	0.0	0.0	0.0	0.2884	0.86671	0.0	0.0	0.0	0.02161	0.11112	0.11248	0.06223	0.03237	0.0	0.0	0.0	0.02979	1.3194	0.95468	0.0	0.0	0.0	0.0	0.01118	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB75721	0.29869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04936	1.16716	1.30732	0.0	0.0	0.0	0.06388	0.02339	0.00858	0.0	0.0	0.52912	0.0	0.0	0.0	0.0	0.07791	0.04786	0.05174	0.0	0.0	2.45284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00102	0.31883	0.41275	0.3068	0.16848	0.0	0.0	0.0	0.0	0.01266	0.0	0.0	0.0	0.01077	0.0	0.0	0.0	0.01612	0.02398	0.01317	0.59112	0.05539	0.1016	0.0	0.35753	0.4781	0.34122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31422	0.36815	0.66006	0.0	0.0	0.0	0.0	0.0	0.07895	0.20967	0.03054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03916	0.3313	0.01188	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	0.24344	0.17374	0.0	0.0	0.34982	0.52423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00129	0.0	0.21043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17147	1.88842	0.31419	0.36861	0.0	1.28483	1.23331	1.16552	0.0	0.0	0.00332	0.49596	0.0	0.04918	0.24409	1.47701	0.753	0.13428	0.0	0.0	0.31361	0.09899	0.58927	0.09941	0.0	0.93696	0.34073	0.0	4.49681	0.58611	0.04456	0.00425	0.0	0.09064	0.04982	0.0	1.71428	0.63213	0.29767	0.23006	0.23976	0.31894	0.1008	0.23626	0.05869	0.14863	0.135	0.07334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01519	0.00277	0.01206	0.08401	0.0	0.0	0.0	0.0	0.49252	0.07004	0.02067	0.12108	0.04052	0.12721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00686	0.00742	0.00839	0.12449	0.53249	1.19751	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1227	0.23434	0.32992	0.01996	0.0	0.0	0.06617	0.16312	0.05635	0.03251	0.0	0.0	0.0	0.0	0.28676	0.15726	0.01767	0.25398	0.30949	0.0	0.0	0.15107	0.0	0.0	0.0	0.0	0.0	3.45021	0.09041	0.02498	0.10372	0.0	0.00439	0.0	0.01238	0.0	0.0	2.09063	0.00325	0.0	0.0	0.0	0.0	0.06442	0.0	0.0	0.10077	0.61741	0.0	0.01033	0.00564	2.06407	0.24326	0.05354	0.63834	0.0	0.00424	0.10571	0.10233	0.0	0.58982	0.39232	0.70609	0.0	0.0	1.32117	1.38383	6.3263	5.07509	0.01236	0.0701	0.00047	0.02208	0.0	0.01428	0.85398	0.0	0.0	0.0	0.0	0.0	0.68398	3.28202	0.18758	0.2657	0.28918	0.43788	0.65443	0.0	0.09909	0.0	0.0	0.22916	0.05398	0.23869	0.00585	0.00917	0.01812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33335	0.66362	0.19365	0.03488	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.21095	0.59971	0.12031	3.22101	0.24481	0.06671	0.39443	1.02109	2.45161	0.05648	0.21285	0.85363	2.17759	0.041	0.0	0.00229	0.12753	0.2177	0.075	0.29393	0.58749	1.76795	0.88663	1.89395	0.15598	0.05576	0.37219	0.0	0.01091	0.00157	1.18865	1.32055	0.33235	0.64191	0.0	0.0	0.04096	0.14739	0.28464	0.0	0.49969	0.32218	0.52036	0.0289	3.3944	0.02671	0.54032	1.34339	1.58812	0.18361	0.37607	0.08091	0.10873	0.03433	1.26453	2.08786	1.11244	1.15123	0.01719	0.00779	0.0	23.76341	1.05529	0.91688	0.08974	0.1565	0.29595	0.52939	0.50425	2.03856	0.43798	0.37738	0.33322	0.30725	0.00975	0.00336	1.48246	0.15334	2.12738	1.73581	0.0	0.30864	0.56313	1.91316	0.3951	0.43109	0.4758	0.0798	0.12725	3.31995	0.02798	3.067	0.55776	0.93739	0.24475	0.2093	0.78225	0.50375	0.0	0.02782	0.03444	0.04656	0.08817	0.08391	0.72004	2.21265	0.68027	0.87751	0.51362	0.11125	0.13042	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli	0.19974	0.06527	0.66062	2.83568	0.21635	0.23392	0.17562	0.13326	0.07534	0.7707	1.21936	3.27101	0.68103	0.10294	0.01093	0.12608	3.99018	2.23693	0.91413	0.05224	0.00692	3.04526	2.80659	1.13639	0.54205	0.76732	2.04543	0.68426	0.31648	1.59021	13.10511	6.19853	8.13968	8.59977	9.73724	5.72183	9.04921	0.15037	0.59455	4.28573	1.89182	0.42327	0.16295	0.49856	4.56175	0.8566	0.44091	0.17706	0.24884	0.02768	3.68528	0.11254	0.49158	10.62459	1.98387	1.96481	6.0425	17.99069	0.0	0.16606	0.89916	1.68333	1.27345	3.92465	0.43801	3.41592	2.47352	2.55804	0.0062	0.09755	0.08909	11.86724	11.0062	7.80744	1.05847	0.03051	1.50108	0.01938	0.12579	1.7149	0.38338	0.03228	0.20776	1.79294	3.05423	3.16014	4.54755	0.04463	1.79907	0.46934	0.0	0.84953	0.17649	0.84992	0.09689	0.13659	0.10847	3.55143	2.02805	2.788	0.12153	0.01726	0.01013	0.17809	0.02119	0.40215	0.85712	8.52987	5.50833	4.21762	5.9669	0.01061	0.06387
